场景,DeltaT(min),是否巡逻交接,拦截编组,编组配置,来源,拦截目标,增派飞1,增派智1,拦截窗口,航迹
巡逻初期,0.00,否,I1,2飞1,新增,"1,4,12",4,2,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻初期,0.00,否,I2,1飞1+1智1,P3转化,"5,8",4,2,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻初期,0.00,否,I3,1飞1+1智1,P2转化,"6,11",4,2,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻初期,0.00,否,I4,1飞1+1智1,P4转化,"9,10",4,2,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻初期,0.00,否,I5,1飞1+1智1,新增,2,4,2,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻初期,0.00,否,I6,1飞1+1智1,P1转化,3,4,2,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻初期,0.00,否,I7,1飞1+1智1,新增,7,4,2,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻中期,25.64,是,I1,2飞1,新增,"1,4,12",8,6,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻中期,25.64,是,I2,1飞1+1智1,P3转化,"5,8",8,6,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻中期,25.64,是,I3,1飞1+1智1,P2转化,"6,11",8,6,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻中期,25.64,是,I4,1飞1+1智1,P4转化,"9,10",8,6,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻中期,25.64,是,I5,1飞1+1智1,新增,2,8,6,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻中期,25.64,是,I6,1飞1+1智1,P1转化,3,8,6,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻中期,25.64,是,I7,1飞1+1智1,新增,7,8,6,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻末期,51.28,是,I1,2飞1,新增,"1,4,12",8,6,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻末期,51.28,是,I2,1飞1+1智1,P3转化,"5,8",8,6,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻末期,51.28,是,I3,1飞1+1智1,P2转化,"6,11",8,6,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻末期,51.28,是,I4,1飞1+1智1,P4转化,"9,10",8,6,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻末期,51.28,是,I5,1飞1+1智1,新增,2,8,6,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻末期,51.28,是,I6,1飞1+1智1,P1转化,3,8,6,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
巡逻末期,51.28,是,I7,1飞1+1智1,新增,7,8,6,发现后32.5min内、外层线外,由当前/甲板初始位置直线前出至目标外层线交点附近
